Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,District,Municipality,Total Length,Total Width,No of Spans,Bridge Type,Construction Date
2551,D21 over Selati river,Bridge,Bridge,9/4/2021,,Mopani,,49.8,12.9,3,Simply supported,1/1/1967
2569,D86 over Rail,Bridge,Bridge,8/4/2021,,Mopani,,6.4,16.4,1,Simply supported,1/1/1967
2611,D959 over Sinugane river,Bridge,Bridge,8/14/2021,,Vhembe,,32.2,12.5,3,Simply supported,1/1/1968
2726,P142/1 over river,Bridge,Bridge,9/4/2021,,Mopani,,16.3,12,1,Simply supported,1/1/1968
2727,D639 over Sterk river,Bridge,Bridge,9/8/2021,,Waterberg,,50,12.35,3,Simply supported,1/1/1968
2728,D190 over Sterk river,Bridge,Bridge,7/23/2021,,Waterberg,,49.4,10.6,3,Simply supported,1/1/1969
2743,D4260 over Motsemohlaba river,Bridge,Bridge,8/12/2021,,Sekhukhune,,34,12.36,4,Simply supported,1/1/1973
2744,D2534 over canal,Bridge,Bridge,8/19/2021,,Capricorn,,8.6,13.1,1,Simply supported,1/1/1968
2745,P207/1  over Groblersdal river,Bridge,Bridge,7/27/2021,,Sekhukhune,,45.89,12.4,10,Continuous,1/1/1969
2748,D959 over river,Bridge,Bridge,8/14/2021,,Vhembe,,35.4,12.5,5,Simply supported,1/1/1969
2804,P43/3 over river,Bridge,Bridge,1/31/2022,,Mopani,,16,12.4,1,Simply supported,1/1/1968
2805,D1489 over Hout river,Bridge,Bridge,9/5/2021,,Vhembe,,82,10.6,5,Simply supported,1/1/1973
2810,P207/1 over rail way,Bridge,Bridge,7/27/2021,,Sekhukhune,,25.9,12.6,3,Simply supported,1/1/1974
2817,P43/3 over river,Bridge,Bridge,2/1/2022,,Mopani,,20,12.4,3,Simply supported,1/1/1968
2846,P33/1 over Olifants river,Bridge,Bridge,2/7/2022,,Capricorn,,156,12,4,Continuous,1/1/1972
2852,P98/2 over river,Bridge,Bridge,8/14/2021,,Vhembe,,16.8,12.5,1,Simply supported,1/1/1971
2935,D1235 over Crocodile river,Bridge,Bridge,8/31/2021,,Waterberg,,123.5,12.3,5,Simply supported,1/1/1972
2956,D192 over Sekelbos river,Bridge,Bridge,9/10/2021,,Waterberg,,17,12.3,1,Simply supported,1/1/1970
2987,D1253 over Luvuvhu river,Bridge,Bridge,9/2/2021,,Vhembe,,55,12.5,2,Simply supported,1/1/1973
