Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,District,Municipality,Road No.,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
1977,D1069 over Sterk river,Bridge,Bridge,9/8/2021,Waterberg,,,6/30/2022,8/12/2021,8429600,13389829,17337600,239200,8668800,30100,48,12,4.2,,,,,,,,,,,,,1,0.5,50
1979,D710 over Waterhoek spruit,Bridge,Bridge,7/26/2021,Waterberg,,,6/30/2022,7/1/2021,6838060,10933555,12164610,95770,5230784,30100,33.4,12.1,4.5,,,,,,,,,,,,,1,0.57,43
1980,D190 over Purekrans river,Bridge,Bridge,7/23/2021,Waterberg,,,6/30/2022,7/23/2021,2205485,4819333,5490240,429830,2854925,30100,15.2,12,0,,,,,,,,,,,,,1,0.48,55
1981,D2661 over Palala river,Bridge,Bridge,7/23/2021,Waterberg,,,6/30/2022,7/8/2021,2921750,5390851,6563004,202240,3439014,30100,27.6,7.9,2.6,,,,,,,,,,,,,1,0.476,56
1982,D190 over Bokpoort river,Bridge,Bridge,7/23/2021,Waterberg,,,6/30/2022,7/23/2021,3892958,7756068,8423184,150170,4380056,30100,26.4,10.6,0,,,,,,,,,,,,,1,0.48,55
1988,Rail over P146/1,Bridge,Bridge,8/2/2021,Mopani,,,6/30/2022,8/2/2021,9415280,13846000,13846000,0,4430720,30100,18.4,25,5.4,,,,,,,,,,,,,1,0.68,32
2004,D548 over Groot Letaba river,Bridge,Bridge,9/5/2021,Mopani,,,6/30/2022,9/5/2021,6138263,12341587,13195330,89930,6967132,45140,34.8,8.4,8.2,,,,,,,,,,,,,1,0.472,57
2005,D673 over Murle Brook river,Bridge,Bridge,9/5/2021,Mopani,,,6/30/2022,9/5/2021,7379391,15413005,15587590,165000,8043195,30100,41.1,12.6,3,,,,,,,,,,,,,1,0.484,54
2032,D589 over river,Bridge,Bridge,9/2/2021,Mopani,,,6/30/2022,9/2/2021,2436589,4992489,5239808,36600,2766619,30100,12.8,13.6,4.7,,,,,,,,,,,,,1,0.472,57
2041,P146/1 over Unduthlo spruit,Bridge,Bridge,8/2/2021,Mopani,,,6/30/2022,8/2/2021,2067228,4416720,4608912,16000,2525684,30100,13.2,11.6,4.5,,,,,,,,,,,,,1,0.452,62
2054,P169/1 over Klip river,Bridge,Bridge,2/7/2022,Sekhukhune,,,6/30/2022,11/16/2012,8599449,17337600,17337600,0,8738151,30100,48,12,6.32,,,,,,,,,,,,,1,0.496,51
2097,D1399  over Aarons river,Bridge,Bridge,8/2/2021,Sekhukhune,,,6/30/2022,8/2/2021,5099517,8940487,11955720,495760,6360443,30100,33.1,12,0,,,,,,,,,,,,,1,0.468,58
2105,D2537 over Hlahlaneng river,Bridge,Bridge,8/17/2021,Sekhukhune,,,6/30/2022,8/17/2021,2508761,4452515,5360601,0,2851840,45140,11.7,10.15,10.3,,,,,,,,,,,,,1,0.468,58
2121,D192 over river,Bridge,Bridge,9/9/2021,Waterberg,,,6/30/2022,8/6/2021,3949375,6871744,8438836,0,4489461,30100,32.6,8.6,4.2,,,,,,,,,,,,,1,0.468,58
2122,D2537 over river,Bridge,Bridge,8/18/2021,Sekhukhune,,,6/30/2022,8/18/2021,2058302,4988005,5576928,551700,2966926,30100,19.3,9.6,5.9,,,,,,,,,,,,,1,0.468,58
2123,D2537 over Steelpoort river,Bridge,Bridge,8/19/2021,Sekhukhune,,,6/30/2022,8/19/2021,17484968,27160268,39000960,767480,20748512,45140,96,9,9.35,,,,,,,,,,,,,1,0.468,58
2139,D4421 over Rail,Bridge,Bridge,2/7/2022,Other,,,6/30/2022,3/8/2006,5815406,12865944,12865940,0,7050538,30100,31.2,13.7,5.5,,,,,,,,,,,,,1,0.452,62
2162,D192 over river,Bridge,Bridge,9/8/2021,Waterberg,,,6/30/2022,8/6/2021,3816540,7233975,8641710,227780,4597390,30100,33,8.7,4,,,,,,,,,,,,,1,0.468,58
2171,P169/3 over rail,Bridge,Bridge,8/18/2021,Sekhukhune,,,6/30/2022,8/18/2021,1922475,4303091,4796134,341300,2532359,30100,12.85,12.4,5.45,,,,,,,,,,,,,1,0.472,57
2176,P169/3 over Spekboom river,Bridge,Bridge,8/18/2021,Sekhukhune,,,6/30/2022,8/18/2021,14549223,19877489,32500800,1441170,16510407,45140,80,9,8.4,,,,,,,,,,,,,1,0.492,52
2180,P169/1 over river,Bridge,Bridge,2/7/2022,Sekhukhune,,,6/30/2022,11/16/2012,2197541,4695600,4695600,0,2498059,30100,13,12,4.29,,,,,,,,,,,,,1,0.468,58
2193,P134/2 over river.,Bridge,Bridge Cellular,2/1/2022,Waterberg,,,6/30/2022,1/20/2022,4726947,7649844,9481710,25760,4729003,24450,,,,,27.7,14,0,,,,,,,,,,0.501,57
2194,P134/2 over river,Bridge,Bridge Cellular,2/1/2022,Waterberg,,,6/30/2022,1/20/2022,4706431,7477849,8251875,151860,3393584,24450,,,,,25,13.5,0,,,,,,,,,,0.589,47
